
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besj1(x) - besj0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
1.8877756e+00 3.2706038e-01  i
1.8997996e+00 3.2987886e-01  i
1.9118236e+00 3.3268471e-01  i
1.9238477e+00 3.3547749e-01  i
1.9358717e+00 3.3825677e-01  i
1.9478958e+00 3.4102213e-01  i
1.9599198e+00 3.4377313e-01  i
1.9719439e+00 3.4650935e-01  i
1.9839679e+00 3.4923038e-01  i
1.9959920e+00 3.5193577e-01  i
2.0080160e+00 3.5462513e-01  i
2.0200401e+00 3.5729802e-01  i
2.0320641e+00 3.5995403e-01  i
2.0440882e+00 3.6259274e-01  i
2.0561122e+00 3.6521375e-01  i
2.0681363e+00 3.6781664e-01  i
2.0801603e+00 3.7040100e-01  i
2.0921844e+00 3.7296644e-01  i
2.1042084e+00 3.7551253e-01  i
2.1162325e+00 3.7803889e-01  i
2.1282565e+00 3.8054512e-01  i
2.1402806e+00 3.8303081e-01  i
2.1523046e+00 3.8549557e-01  i
2.1643287e+00 3.8793902e-01  i
2.1763527e+00 3.9036075e-01  i
2.1883768e+00 3.9276040e-01  i
2.2004008e+00 3.9513756e-01  i
2.2124248e+00 3.9749186e-01  i
2.2244489e+00 3.9982293e-01  i
2.2364729e+00 4.0213038e-01  i
2.2484970e+00 4.0441385e-01  i
2.2605210e+00 4.0667296e-01  i
2.2725451e+00 4.0890735e-01  i
2.2845691e+00 4.1111665e-01  i
2.2965932e+00 4.1330051e-01  i
2.3086172e+00 4.1545856e-01  i
2.3206413e+00 4.1759046e-01  i
2.3326653e+00 4.1969584e-01  i
2.3446894e+00 4.2177437e-01  i
2.3567134e+00 4.2382570e-01  i
2.3687375e+00 4.2584949e-01  i
2.3807615e+00 4.2784540e-01  i
2.3927856e+00 4.2981310e-01  i
2.4048096e+00 4.3175226e-01  i
2.4168337e+00 4.3366254e-01  i
2.4288577e+00 4.3554363e-01  i
2.4408818e+00 4.3739521e-01  i
2.4529058e+00 4.3921696e-01  i
2.4649299e+00 4.4100856e-01  i
2.4769539e+00 4.4276972e-01  i
2.4889780e+00 4.4450013e-01  i
2.5010020e+00 4.4619948e-01  i
2.5130261e+00 4.4786748e-01  i
2.5250501e+00 4.4950383e-01  i
2.5370741e+00 4.5110825e-01  i
2.5490982e+00 4.5268046e-01  i
2.5611222e+00 4.5422016e-01  i
