
# Curve 0 of 1, 500 points
# Curve title: "besy1(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
1.8036072e+00 -2.2149561e-01  i
1.8156313e+00 -2.1428168e-01  i
1.8276553e+00 -2.0709385e-01  i
1.8396794e+00 -1.9993224e-01  i
1.8517034e+00 -1.9279700e-01  i
1.8637275e+00 -1.8568826e-01  i
1.8757515e+00 -1.7860617e-01  i
1.8877756e+00 -1.7155092e-01  i
1.8997996e+00 -1.6452268e-01  i
1.9118236e+00 -1.5752164e-01  i
1.9238477e+00 -1.5054800e-01  i
1.9358717e+00 -1.4360198e-01  i
1.9478958e+00 -1.3668379e-01  i
1.9599198e+00 -1.2979367e-01  i
1.9719439e+00 -1.2293186e-01  i
1.9839679e+00 -1.1609859e-01  i
1.9959920e+00 -1.0929414e-01  i
2.0080160e+00 -1.0251875e-01  i
2.0200401e+00 -9.5772698e-02  i
2.0320641e+00 -8.9056262e-02  i
2.0440882e+00 -8.2369723e-02  i
2.0561122e+00 -7.5713370e-02  i
2.0681363e+00 -6.9087498e-02  i
2.0801603e+00 -6.2492406e-02  i
2.0921844e+00 -5.5928400e-02  i
2.1042084e+00 -4.9395789e-02  i
2.1162325e+00 -4.2894890e-02  i
2.1282565e+00 -3.6426020e-02  i
2.1402806e+00 -2.9989503e-02  i
2.1523046e+00 -2.3585665e-02  i
2.1643287e+00 -1.7214838e-02  i
2.1763527e+00 -1.0877355e-02  i
2.1883768e+00 -4.5735522e-03  i
2.2004008e+00 1.6962303e-03  i
2.2124248e+00 7.9316506e-03  i
2.2244489e+00 1.4132364e-02  i
2.2364729e+00 2.0298024e-02  i
2.2484970e+00 2.6428282e-02  i
2.2605210e+00 3.2522788e-02  i
2.2725451e+00 3.8581190e-02  i
2.2845691e+00 4.4603135e-02  i
2.2965932e+00 5.0588269e-02  i
2.3086172e+00 5.6536237e-02  i
2.3206413e+00 6.2446684e-02  i
2.3326653e+00 6.8319252e-02  i
2.3446894e+00 7.4153585e-02  i
2.3567134e+00 7.9949326e-02  i
2.3687375e+00 8.5706118e-02  i
2.3807615e+00 9.1423605e-02  i
2.3927856e+00 9.7101430e-02  i
2.4048096e+00 1.0273924e-01  i
2.4168337e+00 1.0833667e-01  i
2.4288577e+00 1.1389337e-01  i
2.4408818e+00 1.1940900e-01  i
2.4529058e+00 1.2488318e-01  i
2.4649299e+00 1.3031558e-01  i
